"","HG00759","HG00766","HG00844","HG00851","HG00864","HG00867","HG00879","HG00881","HG00956","HG00978","HG00982","HG01028","HG01029","HG01031","HG01046","HG01794","HG01795","HG01796","HG01797","HG01798","HG01799","HG01800","HG01801","HG01802","HG01804","HG01805","HG01806","HG01807","HG01808","HG01809","HG01810","HG01811","HG01812","HG01813","HG01815","HG01816","HG01817","HG02151","HG02152","HG02153","HG02154","HG02155","HG02156","HG02164","HG02165","HG02166","HG02168","HG02169","HG02170","HG02173","HG02176","HG02178","HG02179","HG02180","HG02181","HG02182","HG02184","HG02185","HG02186","HG02187","HG02188","HG02190","HG02250","HG02351","HG02353","HG02355","HG02356","HG02358","HG02360","HG02364","HG02367","HG02371","HG02373","HG02374","HG02375","HG02379","HG02380","HG02382","HG02383","HG02384","HG02385","HG02386","HG02389","HG02390","HG02391","HG02392","HG02394","HG02395","HG02396","HG02397","HG02398","HG02399","HG02401","HG02402","HG02405","HG02406","HG02407","HG02408","HG02409","HG02410"
"HG00759",0.669228026817346,0.0714604117395504,-0.0201762708065383,0.121861386470226,0.284350390271748,0.114261615743356,0.197724648105094,-0.0201762708065383,-0.0201762708065383,0.364763750351459,-0.0201762708065383,0.105196602391141,0.198248875042316,0.100367087351969,0.653763762432218,0.187224597937253,0.121751541776897,0.338389460289179,0.247336892960374,0.081242178318908,0.433073539784085,0.1332224318302,0.196550586703899,0.176714552836596,0.186498016409553,0.0130325421470821,-0.0364625974824564,0.0861216812700681,0.525440775026286,0.462079904528943,0.257512868034953,-0.0364625974824564,-0.0364625974824564,0.0861216812700688,0.517501148894803,0.351023210797906,0.0124693477934865,0.408128209822486,0.134236155011304,-0.110669450284565,0.630832412648926,0.491768611418664,-0.0364625974824564,0.501564022658121,0.658566919037437,0.30710046370947,-0.0201762708065383,0.763666462095262,-0.0201762708065383,0.372814389523201,-0.0364625974824564,0.0130325421470826,-0.0364625974824564,0.26512243141295,0.416126756008347,0.400900394719985,0.317243160580307,0.214314126742284,0.534846038150239,0.739964787547183,0.312474728371073,0.16128519006271,0.273459769973128,0.285741647255847,-0.0652985267817513,0.480077404568976,0.111006482493448,0.400928815497858,0.668078120658408,0.0861216812700679,0.0130325421470821,-0.0364625974824564,0.184301039194943,0.0849077030476014,0.120989355354219,0.0130325421470821,0.104806519389874,0.296533555732972,-0.0201762708065383,0.0861216812700679,0.665596056217852,0.48890645977573,0.0861216812700679,0.0861216812700679,0.0130325421470821,0.195985971988492,-0.0364625974824562,0.0130325421470821,0.517501148894803,0.573513038176949,0.126667465194974,0.673280517727212,0.536826309957537,0.171455501396607,0.645596711729725,0.550448139568462,0.653500739377369,0.645596711729725,0.525440775026286,0.157571155771493
"HG00766",0.0714604117395504,0.796104544025354,0.123361364107192,0.166826649141995,0.108030789386381,0.183603329531127,0.166931323742596,0.123361364107192,0.123361364107192,0.214652268880234,0.123361364107192,0.0327236181157288,0.0529808790703773,0.20862975135765,0.0412350702397906,0.173163322969985,0.101263590092898,0.0271694248817988,-0.0810676086708449,0.316757146336924,0.104807794429639,0.101189478374854,0.0319710485833126,0.0521530288940302,0.167313919072861,0.291089658184061,0.31444426683108,0.0763944565860308,0.00316153710996458,0.00766447673728535,-0.0747340952597459,0.31444426683108,0.31444426683108,0.0763944565860303,0.0258748751632474,0.120706325591238,0.122182856148245,0.105463958164668,0.18054101447243,0.527133943794398,0.162462770690104,0.108604284871804,0.31444426683108,0.128577533528931,0.188131576920235,0.0571903511414103,0.123361364107192,0.0714604117395504,0.123361364107192,0.0983628105267833,0.31444426683108,0.291089658184061,0.31444426683108,0.12469919786839,-0.036889429632186,0.0686252194232726,-0.057127619683304,0.126904160206729,0.254054807387857,0.076244325308556,0.482444501582529,0.189151822997419,0.223581407569097,-0.0710200633668609,0.532216382378631,0.118893331713732,0.163403374515507,-0.0813990769159199,0.198468428416158,0.0763944565860308,0.291089658184061,0.31444426683108,0.12099759818412,0.208127501912416,0.149656562750578,0.291089658184061,0.208858665260663,-0.0623412455979294,0.123361364107192,0.0763944565860308,0.278384852431663,0.242841410627151,0.0763944565860308,0.0763944565860308,0.291089658184061,0.120605053475684,0.31444426683108,0.291089658184061,0.0258748751632474,0.0247933819889516,0.0865469218650524,0.0298110647274907,0.233875785508095,0.0578322646330231,0.0209331604567222,0.100956527168601,0.0459736938369272,0.0209331604567222,0.00316153710996458,0.168621859498439
"HG00844",-0.0201762708065383,0.123361364107192,0.27781016226887,-0.235901604697392,-0.0774990825302901,-0.114794082609146,-0.316962103551869,0.402061503293157,0.402061503293157,-0.00200458344791653,0.402061503293157,-0.210242668605663,-0.110205800617249,-0.215423807452071,-0.0341817249547343,-0.283131487254085,-0.219356343254331,0.00751383176100873,-0.248656597642048,-0.195637206119926,0.00836148912971781,-0.223012470456038,-0.290996539832317,-0.186612705953589,-0.286466171636604,0.130545155204763,0.134340688144475,0.132067944192063,-0.0391179260730379,-0.0234713209099287,-0.233622630079366,0.134340688144475,0.134340688144475,0.132067944192062,-0.0147393523187126,0.00380095151081106,0.377915560691693,0.0147512968372131,-0.233770719833056,0.132824330112258,-0.0585381800471029,-0.026394606966157,0.134340688144475,-0.0318039755316144,-0.0061238217963058,-0.0980189889107188,0.402061503293157,-0.0201762708065383,0.402061503293157,-0.0168656638130491,0.134340688144475,0.130545155204763,0.134340688144475,0.11968276834917,0.0912543849916608,0.0343889330413764,0.147731765460481,-0.167992890045089,-0.044851016041792,-0.0195298062161608,0.00798783924432328,-0.470743418050129,-0.0858435524838264,-0.25305866440015,0.129017954466108,-0.0429105684800327,-0.418537325312339,0.0779125914538969,-0.0476884140327638,0.132067944192063,0.130545155204763,0.134340688144475,-0.161357010586622,-0.231888740975231,-0.304186755877996,0.130545155204763,-0.193234176441329,-0.213176287379436,0.402061503293157,0.132067944192063,-0.0233812997980152,-0.0325693104745323,0.132067944192063,0.132067944192063,0.130545155204763,-0.177584019828326,0.134340688144475,0.130545155204763,-0.0147393523187126,-0.00859419741274781,0.245983139829217,-0.0287812274302727,-0.0492171173111958,0.28505007642181,-0.0319137601828854,0.00234064354269521,-0.036888839123095,-0.0319137601828854,-0.0391179260730379,-0.29690606191259
"HG00851",0.121861386470226,0.166826649141995,-0.235901604697392,1.98883389900516,0.375416944977905,1.75517487239039,1.94068730524228,-0.235901604697392,-0.235901604697392,0.147096973726264,-0.235901604697392,0.499031730863588,0.369293050972999,0.361077610450151,0.174189724758602,1.98497000320732,0.343197860531086,0.225924688691952,0.573996769183016,1.37301830616542,0.207904709485372,0.322495266612425,0.542024599838606,0.400584774355764,1.94568782140335,-0.0779787534867961,0.0527976030304368,-0.0524185665432691,0.197234606740367,0.150210167694229,0.511266767405169,0.0527976030304368,0.0527976030304368,-0.0524185665432691,0.156766418195541,0.242066262823936,-0.295105483361938,0.1859672659502,1.78302695114484,0.0289083181077882,0.15830845504433,0.109270093895525,0.0527976030304368,0.147536761998176,0.132885809026293,0.668404428605257,-0.235901604697392,0.121861386470226,-0.235901604697392,0.350279700074161,0.0527976030304368,-0.0779787534867962,0.0527976030304368,0.0810371588305789,0.252294390263127,0.301801225133023,0.15871877058249,1.2139713269049,0.209829540087879,0.137437531718315,0.109121688911564,2.26575397706785,0.370113402718046,0.438268655128748,-0.102668178942356,0.202153984455827,1.5915684033906,0.219320934889955,0.189452820203495,-0.0524185665432692,-0.0779787534867961,0.0527976030304368,1.27381044678773,0.314006605623228,1.99498408661021,-0.0779787534867961,0.298312617155082,0.440902815326335,-0.235901604697392,-0.0524185665432692,0.144518035821211,0.214617791615297,-0.0524185665432692,-0.0524185665432692,-0.0779787534867961,1.25683340400147,0.0527976030304367,-0.0779787534867961,0.156766418195541,0.161592584983098,0.0772029061071537,0.137476830641001,0.213712280377731,-0.0818904471514861,0.160141574352553,0.112692740873801,0.211703399039255,0.160141574352553,0.197234606740367,2.0152486304734
"HG00864",0.284350390271748,0.108030789386381,-0.0774990825302901,0.375416944977905,0.951745550401507,0.251827687567527,0.345356839104078,-0.0774990825302901,-0.0774990825302901,0.300834310159304,-0.0774990825302901,0.619399718701662,0.817718413688683,0.569967603337933,0.32245418563705,0.335104568786187,0.593631533957455,0.315271506754966,0.619453286142068,0.29839955660829,0.229726815099301,0.60973020839629,0.652176314609588,0.592388705778815,0.333531512433498,0.101399424833458,0.0321225229492371,0.157274670246973,0.244368063809812,0.220090577279893,0.735493043353706,0.0321225229492371,0.0321225229492371,0.157274670246974,0.235978195745497,0.287449019574658,-0.0340732593210488,0.3507161919222,0.384512495059312,-0.0433222426522819,0.263606838936435,0.22610463721827,0.0321225229492371,0.261036369222659,0.193294898592526,0.368391108257445,-0.0774990825302901,0.284350390271748,-0.0774990825302901,0.448412681721374,0.0321225229492371,0.101399424833458,0.0321225229492371,0.0284091551992334,0.261041114358866,0.158961453961433,0.245511420257986,0.395185839339405,0.217655091250301,0.260874722782843,0.119868771846847,0.562265400533194,0.950775942773169,0.729988787433098,0.0318629569468344,0.240109945488697,0.750146548566876,0.370653033441441,0.29576104160428,0.157274670246973,0.101399424833458,0.0321225229492371,0.395824693489395,0.549729851390832,0.377488492928884,0.101399424833458,0.575028497682236,0.662152417400311,-0.0774990825302901,0.157274670246973,0.241305247815832,0.289089213899622,0.157274670246973,0.157274670246973,0.101399424833458,0.411895452909849,0.032122522949237,0.101399424833458,0.235978195745497,0.249557943478627,0.125605116519017,0.252153985923538,0.257784316623537,-0.00846510636302557,0.272724298498743,0.268198633145458,0.364356033681975,0.272724298498743,0.244368063809812,0.311702674612083
"HG00867",0.114261615743356,0.183603329531127,-0.114794082609146,1.75517487239039,0.251827687567527,1.76097490111683,1.80520617378427,-0.114794082609146,-0.114794082609146,-0.0176793747329839,-0.114794082609146,0.509749267797742,0.417625364651287,0.412423980005675,0.163905292908922,1.88166794511516,0.395151538052873,0.0684070676276649,0.694696964308422,1.29744179991312,0.22657427123625,0.375200138425076,0.628253302908329,0.520321839674618,1.84233295118026,-0.0502072595639749,0.0741125984893308,-0.027566592789484,0.182926505999471,0.132854292866049,0.529591814345335,0.0741125984893308,0.0741125984893308,-0.0275665927894839,0.141440604776869,0.084936232962338,-0.173951631314474,0.0967288601790168,1.56861825990644,0.052197784619384,0.149441087354478,0.100646441180512,0.0741125984893308,0.132200658558345,0.123965674828112,0.274327704454661,-0.114794082609146,0.114261615743356,-0.114794082609146,0.364279841163738,0.0741125984893308,-0.0502072595639751,0.0741125984893308,0.0894833774418467,0.261184772227253,0.204298810307612,0.0843116630236869,1.136704896029,0.198608474827648,0.130810829109767,0.109790600970964,2.18625964238812,0.284197022740835,0.457837595618131,-0.074189634595124,0.186632073775997,1.59848816682718,0.226190092434742,0.180058362240262,-0.027566592789484,-0.0502072595639749,0.0741125984893308,1.19754516508994,0.363530539985687,1.74443715312308,-0.0502072595639749,0.349518400815957,0.593500694849054,-0.114794082609146,-0.027566592789484,0.135087259575871,0.199976910529751,-0.027566592789484,-0.0275665927894841,-0.0502072595639749,1.18031582350286,0.0741125984893307,-0.0502072595639749,0.141440604776869,0.148370996361114,-0.0601609108693293,0.129181050248343,0.20110239581903,0.170458719150672,0.151263018269794,0.137979877145891,0.201720809815741,0.151263018269794,0.182926505999471,1.88027115723356
"HG00879",0.197724648105094,0.166931323742596,-0.316962103551869,1.94068730524228,0.345356839104078,1.80520617378427,2.02380740741789,-0.316962103551869,-0.316962103551869,0.105921846341088,-0.316962103551869,0.512827306429514,0.369291827702234,0.387175213900822,0.258381738255798,2.05737867764506,0.367468085476704,0.217848657125544,0.64285404362717,1.3484367570264,0.283909838690898,0.344582763495504,0.658180385014002,0.466499612970712,2.05125036323259,-0.105354851564633,0.0369238275528444,-0.0769958508274466,0.295687545215799,0.294699886846,0.518671457715166,0.0369238275528444,0.0369238275528444,-0.0769958508274463,0.294479687250083,0.235899736812846,-0.384012275432169,0.235390186178589,1.82040086433247,0.013183336266375,0.236674485070261,0.18888670774826,0.0369238275528444,0.285471202864654,0.213701948011351,0.6727735494049,-0.316962103551869,0.197724648105094,-0.316962103551869,0.43602136886849,0.0369238275528444,-0.105354851564633,0.0369238275528444,0.179011972817171,0.315742647722802,0.44078240817899,0.232586188458938,1.20782361191574,0.29676140072166,0.209748413979415,0.160687937323833,2.30247636538191,0.375553004502411,0.470391288229111,-0.131611016932492,0.305083063921882,1.61178653706567,0.22951751762573,0.269343112455691,-0.0769958508274466,-0.105354851564633,0.0369238275528444,1.27060879819123,0.376583905020921,2.02542111206534,-0.105354851564633,0.359368021529054,0.566979871964787,-0.316962103551869,-0.0769958508274466,0.227708760105106,0.314027685148467,-0.0769958508274466,-0.0769958508274468,-0.105354851564633,1.25157897944084,0.0369238275528445,-0.105354851564633,0.294479687250083,0.256497130272188,0.0749218110479397,0.21541160470167,0.305635470333491,0.0643345739803421,0.23960026925068,0.173235365457194,0.294227491887909,0.23960026925068,0.295687545215799,2.08234333941663
"HG00881",-0.0201762708065383,0.123361364107192,0.402061503293157,-0.235901604697392,-0.0774990825302901,-0.114794082609146,-0.316962103551869,0.27781016226887,0.402061503293157,-0.00200458344791652,0.402061503293157,-0.210242668605663,-0.110205800617249,-0.215423807452071,-0.0341817249547344,-0.283131487254085,-0.219356343254331,0.00751383176100868,-0.248656597642048,-0.195637206119926,0.00836148912971781,-0.223012470456038,-0.290996539832317,-0.186612705953589,-0.286466171636604,0.130545155204763,0.134340688144475,0.132067944192062,-0.039117926073038,-0.0234713209099288,-0.233622630079367,0.134340688144475,0.134340688144475,0.132067944192062,-0.0147393523187126,0.00380095151081105,0.377915560691693,0.0147512968372131,-0.233770719833056,0.132824330112258,-0.0585381800471029,-0.026394606966157,0.134340688144475,-0.0318039755316144,-0.00612382179630575,-0.0980189889107187,0.402061503293157,-0.0201762708065383,0.402061503293157,-0.0168656638130491,0.134340688144475,0.130545155204763,0.134340688144475,0.11968276834917,0.0912543849916608,0.0343889330413763,0.147731765460481,-0.167992890045089,-0.0448510160417919,-0.0195298062161607,0.00798783924432336,-0.470743418050129,-0.0858435524838264,-0.25305866440015,0.129017954466108,-0.0429105684800326,-0.418537325312339,0.077912591453897,-0.0476884140327639,0.132067944192063,0.130545155204763,0.134340688144475,-0.161357010586622,-0.231888740975231,-0.304186755877995,0.130545155204763,-0.193234176441329,-0.213176287379437,0.402061503293157,0.132067944192063,-0.0233812997980152,-0.0325693104745324,0.132067944192063,0.132067944192063,0.130545155204763,-0.177584019828326,0.134340688144475,0.130545155204763,-0.0147393523187126,-0.00859419741274777,0.245983139829217,-0.0287812274302726,-0.0492171173111957,0.28505007642181,-0.0319137601828854,0.0023406435426952,-0.036888839123095,-0.0319137601828854,-0.039117926073038,-0.29690606191259
"HG00956",-0.0201762708065383,0.123361364107192,0.402061503293157,-0.235901604697392,-0.0774990825302901,-0.114794082609146,-0.316962103551869,0.402061503293157,0.27781016226887,-0.00200458344791652,0.402061503293157,-0.210242668605663,-0.110205800617249,-0.215423807452071,-0.0341817249547344,-0.283131487254085,-0.219356343254331,0.00751383176100868,-0.248656597642048,-0.195637206119926,0.00836148912971781,-0.223012470456038,-0.290996539832317,-0.186612705953589,-0.286466171636604,0.130545155204763,0.134340688144475,0.132067944192062,-0.039117926073038,-0.0234713209099288,-0.233622630079367,0.134340688144475,0.134340688144475,0.132067944192062,-0.0147393523187126,0.00380095151081105,0.377915560691693,0.0147512968372131,-0.233770719833056,0.132824330112258,-0.0585381800471029,-0.026394606966157,0.134340688144475,-0.0318039755316144,-0.00612382179630575,-0.0980189889107187,0.402061503293157,-0.0201762708065383,0.402061503293157,-0.0168656638130491,0.134340688144475,0.130545155204763,0.134340688144475,0.11968276834917,0.0912543849916608,0.0343889330413763,0.147731765460481,-0.167992890045089,-0.0448510160417919,-0.0195298062161607,0.00798783924432336,-0.470743418050129,-0.0858435524838264,-0.25305866440015,0.129017954466108,-0.0429105684800326,-0.418537325312339,0.077912591453897,-0.0476884140327639,0.132067944192063,0.130545155204763,0.134340688144475,-0.161357010586622,-0.231888740975231,-0.304186755877995,0.130545155204763,-0.193234176441329,-0.213176287379437,0.402061503293157,0.132067944192063,-0.0233812997980152,-0.0325693104745324,0.132067944192063,0.132067944192063,0.130545155204763,-0.177584019828326,0.134340688144475,0.130545155204763,-0.0147393523187126,-0.00859419741274777,0.245983139829217,-0.0287812274302726,-0.0492171173111957,0.28505007642181,-0.0319137601828854,0.0023406435426952,-0.036888839123095,-0.0319137601828854,-0.039117926073038,-0.29690606191259
"HG00978",0.364763750351459,0.214652268880234,-0.00200458344791653,0.147096973726264,0.300834310159304,-0.0176793747329839,0.105921846341088,-0.00200458344791652,-0.00200458344791652,0.615285556643501,-0.00200458344791653,0.112022833873598,0.148631191135137,0.0981024043758311,0.430222843278392,0.0919659682725191,0.0860136248422151,0.340756788299004,0.112978904251655,0.195400103095895,0.305376569115853,0.101327926222025,0.122408110617768,0.0895180369497412,0.0914186505792531,0.0796395185479978,0.18298495138084,0.136552681064075,0.371052099649971,0.29661864280014,0.158091291439327,0.18298495138084,0.18298495138084,0.136552681064075,0.320848937094515,0.418264860575161,0.0417400634191727,0.310178369607415,0.163124225417652,0.142093943709691,0.377973648226339,0.56746904105754,0.18298495138084,0.346128099160567,0.268428647044635,0.467600845367471,-0.00200458344791653,0.364763750351459,-0.00200458344791652,0.221836659475056,0.18298495138084,0.0796395185479979,0.18298495138084,0.174320010794463,0.294321323012957,0.338506444893417,0.180411095731974,0.132135524066382,0.442445985514688,0.345306058223763,0.416930456024082,0.0597175656493469,0.252708716787336,0.200177024535549,0.0112120924633077,0.360496562385934,0.064041257762734,-0.137650981514181,0.321270740768191,0.136552681064075,0.0796395185479978,0.18298495138084,0.134437818198786,0.0791080060731691,0.150443049564755,0.0796395185479978,0.102378489562448,0.104445925164857,-0.00200458344791662,0.136552681064075,0.314550694547675,0.4129703872988,0.136552681064075,0.136552681064075,0.0796395185479978,0.149834330296679,0.18298495138084,0.0796395185479978,0.320848937094515,0.303855199034613,0.222993420339384,0.372961513435319,0.472412135033464,-0.0954132559158605,0.388766571181724,0.404764958818642,0.429710581016783,0.388766571181724,0.371052099649971,0.0718701671083996
