IID	GENOTYPE
syn1	2
syn2	2
syn3	2
syn4	2
syn5	2
syn6	0
syn7	2
syn8	2
syn9	1
syn10	1
syn11	2
syn12	2
syn13	2
syn14	2
syn15	2
syn16	2
syn17	2
syn18	2
syn19	2
syn20	2
syn21	2
syn22	2
syn23	2
syn24	1
syn25	2
syn26	2
syn27	2
syn28	2
syn29	1
syn30	2
syn31	2
syn32	1
syn33	2
syn34	2
syn35	1
syn36	2
syn37	2
syn38	1
syn39	2
syn40	2
syn41	2
syn42	2
syn43	1
syn44	2
syn45	2
syn46	2
syn47	2
syn48	2
syn49	1
syn50	2
syn51	2
syn52	0
syn53	2
syn54	2
syn55	2
syn56	2
syn57	1
syn58	2
syn59	2
syn60	2
syn61	0
syn62	1
syn63	2
syn64	2
syn65	2
syn66	2
syn67	2
syn68	2
syn69	2
syn70	1
syn71	1
syn72	2
syn73	2
syn74	1
syn75	2
syn76	2
syn77	2
syn78	1
syn79	1
syn80	2
syn81	2
syn82	2
syn83	2
syn84	2
syn85	2
syn86	2
syn87	2
syn88	2
syn89	1
syn90	2
syn91	1
syn92	2
syn93	1
syn94	2
syn95	2
syn96	1
syn97	2
syn98	2
syn99	2
syn100	2
syn168001	1
syn168002	2
syn168003	2
syn168004	2
syn168005	1
syn168006	2
syn168007	2
syn168008	2
syn168009	2
syn168010	2
syn168011	1
syn168012	2
syn168013	2
syn168014	2
syn168015	2
syn168016	2
syn168017	2
syn168018	2
syn168019	2
syn168020	2
syn168021	2
syn168022	2
syn168023	1
syn168024	1
syn168025	2
syn168026	2
syn168027	2
syn168028	2
syn168029	2
syn168030	2
syn168031	2
syn168032	2
syn168033	2
syn168034	2
syn168035	0
syn168036	2
syn168037	2
syn168038	2
syn168039	2
syn168040	2
syn168041	1
syn168042	1
syn168043	1
syn168044	2
syn168045	1
syn168046	2
syn168047	2
syn168048	2
syn168049	2
syn168050	2
syn168051	2
syn168052	2
syn168053	2
syn168054	2
syn168055	2
syn168056	2
syn168057	2
syn168058	1
syn168059	2
syn168060	2
syn168061	2
syn168062	2
syn168063	2
syn168064	2
syn168065	2
syn168066	2
syn168067	2
syn168068	2
syn168069	2
syn168070	2
syn168071	2
syn168072	1
syn168073	2
syn168074	2
syn168075	2
syn168076	2
syn168077	1
syn168078	1
syn168079	1
syn168080	2
syn168081	1
syn168082	2
syn168083	2
syn168084	2
syn168085	2
syn168086	1
syn168087	2
syn168088	2
syn168089	2
syn168090	2
syn168091	2
syn168092	2
syn168093	2
syn168094	2
syn168095	2
syn168096	2
syn168097	2
syn168098	2
syn168099	2
syn168100	0
syn336001	2
syn336002	2
syn336003	1
syn336004	2
syn336005	2
syn336006	2
syn336007	1
syn336008	2
syn336009	2
syn336010	1
syn336011	2
syn336012	2
syn336013	2
syn336014	2
syn336015	2
syn336016	2
syn336017	2
syn336018	0
syn336019	2
syn336020	1
syn336021	1
syn336022	2
syn336023	2
syn336024	2
syn336025	2
syn336026	2
syn336027	2
syn336028	2
syn336029	2
syn336030	1
syn336031	2
syn336032	2
syn336033	2
syn336034	2
syn336035	1
syn336036	2
syn336037	2
syn336038	2
syn336039	2
syn336040	1
syn336041	2
syn336042	2
syn336043	2
syn336044	2
syn336045	2
syn336046	1
syn336047	2
syn336048	2
syn336049	1
syn336050	2
syn336051	2
syn336052	2
syn336053	2
syn336054	1
syn336055	2
syn336056	2
syn336057	2
syn336058	2
syn336059	2
syn336060	2
syn336061	1
syn336062	2
syn336063	1
syn336064	2
syn336065	1
syn336066	2
syn336067	1
syn336068	2
syn336069	2
syn336070	2
syn336071	2
syn336072	2
syn336073	2
syn336074	2
syn336075	2
syn336076	2
syn336077	1
syn336078	2
syn336079	0
syn336080	2
syn336081	2
syn336082	2
syn336083	2
syn336084	2
syn336085	2
syn336086	2
syn336087	2
syn336088	2
syn336089	2
syn336090	2
syn336091	2
syn336092	2
syn336093	2
syn336094	2
syn336095	1
syn336096	2
syn336097	2
syn336098	1
syn336099	2
syn336100	2
syn504001	1
syn504002	2
syn504003	2
syn504004	2
syn504005	2
syn504006	2
syn504007	2
syn504008	2
syn504009	1
syn504010	2
syn504011	1
syn504012	2
syn504013	2
syn504014	2
syn504015	2
syn504016	2
syn504017	2
syn504018	2
syn504019	2
syn504020	2
syn504021	2
syn504022	2
syn504023	2
syn504024	2
syn504025	2
syn504026	2
syn504027	2
syn504028	1
syn504029	2
syn504030	2
syn504031	2
syn504032	2
syn504033	1
syn504034	2
syn504035	2
syn504036	2
syn504037	1
syn504038	2
syn504039	2
syn504040	2
syn504041	1
syn504042	2
syn504043	2
syn504044	2
syn504045	1
syn504046	2
syn504047	2
syn504048	1
syn504049	1
syn504050	2
syn504051	2
syn504052	2
syn504053	2
syn504054	2
syn504055	2
syn504056	2
syn504057	2
syn504058	2
syn504059	2
syn504060	2
syn504061	2
syn504062	1
syn504063	2
syn504064	2
syn504065	2
syn504066	2
syn504067	2
syn504068	2
syn504069	2
syn504070	2
syn504071	2
syn504072	2
syn504073	2
syn504074	2
syn504075	2
syn504076	1
syn504077	2
syn504078	2
syn504079	2
syn504080	1
syn504081	2
syn504082	2
syn504083	2
syn504084	2
syn504085	1
syn504086	1
syn504087	2
syn504088	2
syn504089	2
syn504090	2
syn504091	2
syn504092	1
syn504093	2
syn504094	1
syn504095	2
syn504096	2
syn504097	2
syn504098	2
syn504099	2
syn504100	1
syn672001	2
syn672002	1
syn672003	2
syn672004	2
syn672005	2
syn672006	2
syn672007	1
syn672008	1
syn672009	2
syn672010	1
syn672011	1
syn672012	2
syn672013	2
syn672014	2
syn672015	2
syn672016	2
syn672017	2
syn672018	2
syn672019	1
syn672020	2
syn672021	2
syn672022	2
syn672023	2
syn672024	1
syn672025	2
syn672026	2
syn672027	1
syn672028	2
syn672029	2
syn672030	2
syn672031	2
syn672032	1
syn672033	2
syn672034	2
syn672035	2
syn672036	2
syn672037	2
syn672038	2
syn672039	2
syn672040	1
syn672041	2
syn672042	2
syn672043	2
syn672044	2
syn672045	2
syn672046	2
syn672047	2
syn672048	2
syn672049	2
syn672050	1
syn672051	2
syn672052	2
syn672053	2
syn672054	2
syn672055	2
syn672056	2
syn672057	1
syn672058	2
syn672059	2
syn672060	2
syn672061	2
syn672062	2
syn672063	2
syn672064	2
syn672065	1
syn672066	2
syn672067	2
syn672068	1
syn672069	2
syn672070	1
syn672071	2
syn672072	2
syn672073	1
syn672074	2
syn672075	1
syn672076	1
syn672077	1
syn672078	2
syn672079	2
syn672080	1
syn672081	2
syn672082	2
syn672083	1
syn672084	2
syn672085	1
syn672086	2
syn672087	2
syn672088	1
syn672089	2
syn672090	1
syn672091	2
syn672092	1
syn672093	2
syn672094	1
syn672095	2
syn672096	1
syn672097	2
syn672098	1
syn672099	2
syn672100	2
syn840001	2
syn840002	2
syn840003	2
syn840004	2
syn840005	2
syn840006	1
syn840007	2
syn840008	2
syn840009	2
syn840010	2
syn840011	2
syn840012	2
syn840013	2
syn840014	1
syn840015	2
syn840016	1
syn840017	2
syn840018	2
syn840019	2
syn840020	1
syn840021	1
syn840022	2
syn840023	1
syn840024	1
syn840025	2
syn840026	2
syn840027	2
syn840028	2
syn840029	1
syn840030	2
syn840031	1
syn840032	2
syn840033	2
syn840034	2
syn840035	1
syn840036	2
syn840037	1
syn840038	2
syn840039	2
syn840040	1
syn840041	2
syn840042	2
syn840043	1
syn840044	2
syn840045	2
syn840046	2
syn840047	1
syn840048	1
syn840049	2
syn840050	2
syn840051	2
syn840052	2
syn840053	1
syn840054	2
syn840055	2
syn840056	2
syn840057	1
syn840058	2
syn840059	2
syn840060	2
syn840061	2
syn840062	0
syn840063	1
syn840064	2
syn840065	2
syn840066	2
syn840067	1
syn840068	0
syn840069	2
syn840070	2
syn840071	1
syn840072	2
syn840073	2
syn840074	2
syn840075	2
syn840076	2
syn840077	2
syn840078	2
syn840079	2
syn840080	1
